Indoor Temp,FanMode,Air Velocity,Indoor Humidity,Globe Temperature,SET*,User_2_Acceptance,User_3_Acceptance,User_5_Acceptance,User_6_Acceptance,User_7_Acceptance,User_9_Acceptance,User_12_Acceptance,User_13_Acceptance,User_14_Acceptance,User_16_Acceptance,User_17_Acceptance,User_18_Acceptance,User_19_Acceptance,User_20_Acceptance,User_23_Acceptance,User_24_Acceptance,User_25_Acceptance,User_26_Acceptance
28.0,5,1.87,50,28.0,22.63639023,0.9970358,0.94226813,0.6293149,0.019266644,0.9784368,0.9684854,0.998881,0.978099,0.9591876,0.5959737,0.6041369,0.98428535,0.48990047,0.0002662882,0.9991484,0.021864973,0.9979344,0.957748
28.5,0,0.07,50,28.5,27.1328243,0.03702465,0.27109987,0.0021088829,0.026045512,0.24230953,0.0041056094,0.00323828,0.06743205,0.25572568,0.19651066,0.11903785,0.90434813,0.1296087,0.0015694518,0.8285904,0.10637466,0.06830134,0.20028475
28.5,1,0.29,50,28.5,26.36973027,0.003987755,0.7337349,0.025632795,0.008106622,0.852889,0.002015957,0.00058106583,0.057986178,0.9395188,0.11224379,0.035605773,0.99513185,0.084565595,0.004321921,0.9979425,0.14942175,0.98251176,0.12642603
28.5,2,0.58,50,28.5,24.95832753,0.99283695,0.96294546,0.99290985,0.0016883003,0.9369002,0.000637707,0.0010551127,0.07889403,0.9529237,0.09656953,0.019160353,0.99886334,0.03870348,0.03198406,0.9997468,0.05715125,0.9995639,0.9919959
28.5,3,0.94,50,28.5,24.12964744,0.9981661,0.9759461,0.98922986,0.0010787288,0.98358834,0.031448115,0.285787,0.14365587,0.9746518,0.44225657,0.024436643,0.9987412,0.07849353,0.6724318,0.9997823,0.08095295,0.9996418,0.997494
28.5,4,1.37,50,28.5,23.55832286,0.9973832,0.9734558,0.9226197,0.000677373,0.98557097,0.47015634,0.9964592,0.97654754,0.9711449,0.7606133,0.07043819,0.99798375,0.11536918,0.28796107,0.9995666,0.18087187,0.99939287,0.9871412
28.5,5,1.87,50,28.5,23.13027654,0.99742216,0.9416219,0.8185002,0.0045640743,0.97631633,0.2076455,0.995889,0.9495501,0.96008295,0.53863007,0.20172763,0.98684937,0.17928526,0.00040275507,0.9991168,0.021828746,0.9981445,0.9621527
29.0,0,0.07,50,29.0,27.65747353,0.032589246,0.2489238,0.0021952852,0.039082438,0.22021389,0.0041711614,0.0027578871,0.06451314,0.23970848,0.22976196,0.12834184,0.7252234,0.14925157,0.0021926963,0.37146857,0.12520753,0.06673065,0.18718596
29.0,1,0.29,50,29.0,26.88486816,0.0037019309,0.4501037,0.010839959,0.012083297,0.4578135,0.0014990567,0.0003476027,0.110681765,0.8935868,0.17570418,0.039588902,0.995756,0.08246852,0.006478828,0.99367774,0.25001583,0.11849865,0.106186524
29.0,2,0.58,50,29.0,25.45906194,0.85856587,0.6502088,0.98997456,0.0021522238,0.49655026,0.00052871875,0.00041460714,0.023642533,0.91430867,0.105347276,0.01989838,0.9987972,0.038400814,0.04929896,0.9996286,0.050497957,0.9994908,0.96193224
